name,url,telephone,type1,type2,geo_longitude,geo_latitude,addressLocality,addressRegion,addressCountry,tag0,tag1,tag2,tag3,tag4,tag5,tag6,tag7
The Adventure Islands,https://www.theadventureisland.com/,353862518252,LocalBusiness,SportsActivityLocation,-9.6308032,53.8278441,Westport,Mayo,Republic of Ireland,Activity,Kayaking,Activity Operator,Walking,Day Tour,Tour,Boat,None
Bella & Brava Restaurant,https://bellabravarestaurant.com/,353719306727,LocalBusiness,FoodEstablishment,-8.6056089,54.1710166,Coolaney,Sligo,Republic of Ireland,Activity,Food and Drink,Restaurant,Local Produce,None,None,None,None
Michael J Quill Centre,http://www.historic-ireland.com/places/778.html,353646685511,LocalBusiness,Museum,-9.46143,51.902656,Kilgarvan,Kerry,Republic of Ireland,Activity,Attraction,Museums and Attraction,None,None,None,None,None
Pat Falvey Irish and Worldwide Adventures,https://patfalvey.com,353646644181,LocalBusiness,SportsActivityLocation,-9.6443352,52.0421787,Beaufort,Kerry,Republic of Ireland,Activity,Climbing,Activity Operator,Walking,None,None,None,None
Craftmark,https://www.louthcraftmark.com/,353429385720,LocalBusiness,Store,-6.3484734,53.7154343,Drogheda,Louth,Republic of Ireland,Activity,Craft,Shopping,Shopping Centres and Department Store,Food Shops,None,None,None
Busy Bees - Childrens Activity Centre,https://busybeesgalway.com/,353091788516,LocalBusiness,TravelAgency,-8.930215,53.277651,Oranmore,Galway,Republic of Ireland,Activity,Activity Operator,None,None,None,None,None,None
Kinvara Smoked Salmon Limited,https://kinvarasmokedsalmon.com/,353091637489,LocalBusiness,ShoppingCenter,-8.934515,53.138495,Kinvara,Galway,Republic of Ireland,Activity,Shopping,Shopping Centres and Department Store,Food Shops,None,None,None,None
The Coast Club Leisure Centre,https://www.connemaracoasthotel.ie/leisure/coast-club-leisure-centre,353091503904,LocalBusiness,HealthClub,-9.200456,53.248611,Spiddal,Galway,Republic of Ireland,Activity,Pampering,Health Farm,Spa and Wellness,Specialised Retreat,Swimming,Swimming Pools and Water Park,Venue
The Lakes Of Killarney,,,LocalBusiness,SportsActivityLocation,-9.5696539,52.0418477,Killarney,Kerry,Republic of Ireland,Activity,Fishing,Angling,None,None,None,None,None
Trinitarian Monastery,https://www.adareparish.ie/our-parish/virtual-tour-2/,35361396172,LocalBusiness,TouristAttraction,-8.7890832,52.564815,Adare,Limerick,Republic of Ireland,Activity,Attraction,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,None
Dn Na Sad Castle,https://www.baltimorecastle.ie/,3532820735,LocalBusiness,TouristAttraction,-9.3731024,51.4835713,Baltimore,Cork,Republic of Ireland,Activity,Attraction,Historic Houses and Castle,Castle,None,None,None,None
Conna Castle,https://www.castles.nl/conna-castle,353862149601,LocalBusiness,TouristAttraction,-8.1016545,52.0945205,Conna,Cork,Republic of Ireland,Activity,Castle,Attraction,Historic Houses and Castle,None,None,None,None
