name,url,telephone,type1,type2,geo_longitude,geo_latitude,addressLocality,addressRegion,addressCountry,tag0,tag1,tag2,tag3,tag4,tag5,tag6,tag7
Taravie Hotel,https://www.facebook.com/pages/Taravie-Hotel/200397549970664,3530539425208,Hotel,LocalBusiness,-6.22803760615159,52.6453261952866,Courtown,Wexford,Republic of Ireland,Accommodation,Hotel,Follow the Shamrock,Standard,None,None,None,None
Adare Manor Hotel & Golf Resort,https://www.adaremanor.com/,35361605200,Hotel,LocalBusiness,-8.7778256,52.5641886,Adare,Limerick,Republic of Ireland,Accommodation,Hotel,Follow the Shamrock,Standard,None,None,None,None
Courtbrack Accommodation,,353061302500,Hostel,LocalBusiness,-8.646733,52.655444,Limerick City,Limerick,Republic of Ireland,Accommodation,Hostel,Follow the Shamrock,Standard,None,None,None,None
Glencarrig,https://www.facebook.com/glencarrig,3530659058209,BedAndBreakfast,LocalBusiness,-9.721323,52.592004,Carrigaholt,Clare,Republic of Ireland,Accommodation,B&B,Follow the Shamrock,Standard,None,None,None,None
Mevagh House,http://www.mevaghhouse.com,3530749154708,BedAndBreakfast,LocalBusiness,-7.785543,55.176324,Carrigart,Donegal,Republic of Ireland,Accommodation,B&B,Follow the Shamrock,Standard,None,None,None,None
Cul Draiochta,,3530669473141,BedAndBreakfast,LocalBusiness,-10.2419320023014,51.9339642444902,Cahersiveen,Kerry,Republic of Ireland,Accommodation,B&B,Follow the Shamrock,Standard,None,None,None,None
Templecarrig House,https://www.templecarrighouse.com/,353949546818,BedAndBreakfast,LocalBusiness,-9.221627,53.572568,Ballinrobe,Mayo,Republic of Ireland,Accommodation,B&B,Follow the Shamrock,Standard,None,None,None,None
Cuaneen House,http://www.cuaneenhouse.com,35309866460,BedAndBreakfast,LocalBusiness,-9.829117,53.768128,Louisburgh,Mayo,Republic of Ireland,Accommodation,B&B,Follow the Shamrock,Standard,None,None,None,None
Ashwell Cottage,http://www.ashwellcottage.com,35345879167,LodgingBusiness,LocalBusiness,-6.611201,53.231344,Naas,Kildare,Republic of Ireland,Accommodation,Self Catering Accommodation,Follow the Shamrock,Standard,None,None,None,None
Killurin Lodge,http://www.killurinlodge.com,3530539128013,BedAndBreakfast,LocalBusiness,-6.57939084136956,52.3854775604587,Killurin,Wexford,Republic of Ireland,Accommodation,B&B,Follow the Shamrock,Standard,None,None,None,None
Portumna House,http://www.portumnahouse.com,3530909741078,BedAndBreakfast,LocalBusiness,-8.22406613750879,53.0946708147277,Portumna,Galway,Republic of Ireland,Accommodation,B&B,Follow the Shamrock,Standard,None,None,None,None
Kilians Lodge Hotel,http://www.kilianslodge.com/index.php,353469242201,Hotel,LocalBusiness,-6.945492,53.811375,Mullagh,Cavan,Republic of Ireland,Accommodation,Hotel,Follow the Shamrock,Standard,Ireland's Hidden Hearthlands,None,None,None
Adare Farm Cottage,http://www.adarefarmcottage.com,353061396223,LodgingBusiness,LocalBusiness,-8.801211,52.552666,Adare,Limerick,Republic of Ireland,Accommodation,Self Catering Accommodation,Follow the Shamrock,Standard,None,None,None,None
Fáilte B&B,http://www.paxad.ie/failtebandb,35309826005,BedAndBreakfast,LocalBusiness,-9.3191882,53.8449215,Westport,Mayo,Republic of Ireland,Accommodation,B&B,Follow the Shamrock,Standard,None,None,None,None
St. Johns Point Lightkeeper's Cottages - Irish Lan,http://www.irishlandmark.com/property/sj-schooner/,353016704733,LodgingBusiness,LocalBusiness,-8.45971074574584,54.5693378624432,Dunkineely,Donegal,Republic of Ireland,Accommodation,Self Catering Accommodation,Welcome Standard,None,None,None,None,None
Railway Crossing Cottage - Irish Landmark Trust,http://irishlandmark.com/property/railway-crossing-cottage-3/,353016704733,LodgingBusiness,LocalBusiness,-8.1418418,54.658985,Donegal Town,Donegal,Republic of Ireland,Accommodation,Self Catering Accommodation,Welcome Standard,None,None,None,None,None
Ben Lettery Youth Hostel,https://twitter.com/HiIreland,353018304555,Hostel,LocalBusiness,-9.842964,53.470825,Clifden,Galway,Republic of Ireland,Accommodation,Hostel,Follow the Shamrock,Standard,None,None,None,None
Claremount House,http://www.claremounthouse.com,353091584741,BedAndBreakfast,LocalBusiness,-9.10200922594549,53.2584396132801,Salthill,Galway,Republic of Ireland,Accommodation,B&B,Welcome Standard,None,None,None,None,None
Snoozles,http://www.snoozleshostelgalway.ie,353091530064,Hostel,LocalBusiness,-9.045045,53.275218,Galway City,Galway,Republic of Ireland,Accommodation,Hostel,Follow the Shamrock,Standard,None,None,None,None
Gallagher's B&B,https://www.bandbireland.com/accommodation/26256/gallagher-s-b-b,353091522078,BedAndBreakfast,LocalBusiness,-9.07669898286997,53.2720065850988,Galway City,Galway,Republic of Ireland,Accommodation,B&B,B&B Ireland,None,None,None,None,None
Sandrock Holiday Hostel,http://www.sandrockhostel.com,3530863256323,Hostel,LocalBusiness,-7.358433,55.361922,Malin Head,Donegal,Republic of Ireland,Accommodation,Hostel,Follow the Shamrock,Standard,None,None,None,None
Ross Castle,http://www.rosscastle.com/,353091550183,LodgingBusiness,LocalBusiness,-9.23612410698411,53.3823542753581,Moycullen,Galway,Republic of Ireland,Accommodation,Self Catering Accommodation,Welcome Standard,None,None,None,None,None
Montenotte Holiday Apartments,http://www.themontenottehotel.com,3530214530050,LodgingBusiness,LocalBusiness,-8.452177,51.904551,Cork City,Cork,Republic of Ireland,Accommodation,Self Catering Accommodation,Follow the Shamrock,Standard,None,None,None,None
Moyvalley Self Catering Cottage,http://moyvalley.com,3530469548000,LodgingBusiness,LocalBusiness,-6.92720017276656,53.4225859574467,Moyvalley,Kildare,Republic of Ireland,Accommodation,Self Catering Accommodation,Welcome Standard,None,None,None,None,None
Lough Eske Castle,https://www.lougheskecastlehotel.com/,3530749725100,Hotel,LocalBusiness,-8.066015,54.688357,Donegal Town,Donegal,Republic of Ireland,Accommodation,Hotel,Follow the Shamrock,Standard,None,None,None,None
Ashville House,http://www.ashvillehousetralee.com,3530667123717,BedAndBreakfast,LocalBusiness,-9.700471,52.255824,Tralee,Kerry,Republic of Ireland,Accommodation,B&B,Follow the Shamrock,Standard,None,None,None,None
Great Blasket Island Accommodation,http://www.greatblasketisland.net,3530860572626,LodgingBusiness,LocalBusiness,-10.5145311896667,52.1047404284962,Dingle,Kerry,Republic of Ireland,Accommodation,Self Catering Accommodation,Welcome Standard,None,None,None,None,None
Creggan Court Hotel,https://www.creggancourt.com/,353906477777,Hotel,LocalBusiness,-7.8939307,53.4103292,Athlone,Westmeath,Republic of Ireland,Accommodation,Hotel,Follow the Shamrock,Standard,Ireland's Hidden Hearthlands,None,None,None
Abbey Court Hotel,https://www.abbeycourt.ie/,3536741111,Hotel,LocalBusiness,-8.190088,52.864706,Nenagh,Tipperary,Republic of Ireland,Accommodation,Hotel,Follow the Shamrock,Standard,Ireland's Hidden Hearthlands,None,None,None
Rathgillen Farm,,3530469052476,LodgingBusiness,LocalBusiness,-6.74062296382465,53.8329772431991,Nobber,Meath,Republic of Ireland,Accommodation,Self Catering Accommodation,Welcome Standard,None,None,None,None,None
Gormanston Park,http://www.gormanstonpark.ie,353016904021,Hostel,Not Available,-6.23968277138715,53.6364773688458,Gormanstown,Meath,Republic of Ireland,Accommodation,Hostel,None,None,None,None,None,None
Virginia Park Lodge,http://virginiaparklodge.com/,353498546100,BedAndBreakfast,LocalBusiness,-7.09310347804183,53.8347807176477,Ballyjamesduff,Cavan,Republic of Ireland,Accommodation,B&B,Welcome Standard,Ireland's Hidden Hearthlands,B&Bs,Historic House,None,None
Ghan House,http://www.ghanhouse.com,3530429373682,BedAndBreakfast,LocalBusiness,-6.18410095089143,54.039486784898,Carlingford,Louth,Republic of Ireland,Accommodation,B&B,Welcome Standard,None,None,None,None,None
Pipers Chair Houses,https://www.facebook.com/hoteldoolin.ireland/,3530646641170,LodgingBusiness,LocalBusiness,-9.375224,53.016532,Doolin,Clare,Republic of Ireland,Accommodation,Self Catering Accommodation,Follow the Shamrock,Standard,None,None,None,None
Hannons Hotel,http://hannonshotel.com,3530906637644,Hotel,LocalBusiness,-8.16803997893749,53.6233358888205,Roscommon Town,Roscommon,Republic of Ireland,Accommodation,Hotel,Ireland's Hidden Hearthlands,None,None,None,None,None
Moat Farm Caravan and Camping Park,,353045404727,Campground,LocalBusiness,-6.61498939154058,53.0210723710471,Donard,Wicklow,Republic of Ireland,Accommodation,Camping,Follow the Shamrock,Standard,None,None,None,None
Rochestown Lodge Hotel and Leisure Club,http://www.rochestownlodge.com/,353012853555,Hotel,LocalBusiness,-6.14167254844472,53.2695679701424,Dún Laoghaire,Dublin,Republic of Ireland,Accommodation,Hotel,Follow the Shamrock,Standard,None,None,None,None
Lehinch Lodge,http://www.lehinchlodge.ie/,3530657081242,LodgingBusiness,LocalBusiness,-9.338958,52.934156,Lahinch,Clare,Republic of Ireland,Accommodation,Guesthouse,Follow the Shamrock,Standard,None,None,None,None
Emerald Star,https://www.emeraldstar.ie/boating-holidays/ireland/shannon-and-erne,353719627611,LodgingBusiness,LocalBusiness,-8.0979184,53.9438609,Carrick-on-Shannon,Leitrim,Republic of Ireland,Accommodation,Self Catering Accommodation,Welcome Standard,Ireland's Hidden Hearthlands,None,None,None,None
